Year,Genre,NA Sales
,Strategy,0.81
1980,Strategy,
1981,Strategy,
1982,Strategy,
1983,Strategy,
1984,Strategy,
1985,Strategy,
1986,Strategy,
1987,Strategy,
1988,Strategy,
1989,Strategy,
1990,Strategy,
1991,Strategy,0
1992,Strategy,0.01
1993,Strategy,0.3
1994,Strategy,0.89
1995,Strategy,1.95
1996,Strategy,1.86
1997,Strategy,3.25
1998,Strategy,4.56
1999,Strategy,8.85
2000,Strategy,3.2
2001,Strategy,3.2
2002,Strategy,2.24
2003,Strategy,3.54
2004,Strategy,2.93
2005,Strategy,2.46
2006,Strategy,2.07
2007,Strategy,3.81
2008,Strategy,4.84
2009,Strategy,4.62
2010,Strategy,5.78
2011,Strategy,3.36
2012,Strategy,0.94
2013,Strategy,2.39
2014,Strategy,0.16
2015,Strategy,0.57
2016,Strategy,0.11
2017,Strategy,
2020,Strategy,
,Sports,13.26
1980,Sports,0.46
1981,Sports,0.74
1982,Sports,0.98
1983,Sports,0.73
1984,Sports,1.7
1985,Sports,0.18
1986,Sports,2.35
1987,Sports,0.4
1988,Sports,1.37
1989,Sports,2.24
1990,Sports,0.28
1991,Sports,0.41
1992,Sports,1.75
1993,Sports,0.04
1994,Sports,2.5
1995,Sports,2.56
1996,Sports,7.78
1997,Sports,15.55
1998,Sports,24.7
1999,Sports,15.09
2000,Sports,22.75
2001,Sports,28.8
2002,Sports,35.17
2003,Sports,31.45
2004,Sports,38.52
2005,Sports,36.06
2006,Sports,72.910000000
2007,Sports,47.79
2008,Sports,48.92
2009,Sports,71.47
2010,Sports,48.56
2011,Sports,27.45
2012,Sports,16.4
2013,Sports,19.18
2014,Sports,19.82
2015,Sports,18.46
2016,Sports,4.57
2017,Sports,
2020,Sports,
,Simulation,1.53
1980,Simulation,
1981,Simulation,0.42
1982,Simulation,
1983,Simulation,
1984,Simulation,
1985,Simulation,0
1986,Simulation,
1987,Simulation,
1988,Simulation,0
1989,Simulation,
1990,Simulation,0.46
1991,Simulation,0.93
1992,Simulation,1.2
1993,Simulation,0
1994,Simulation,0.34
1995,Simulation,1.36
1996,Simulation,5.42
1997,Simulation,1.9
1998,Simulation,2.79
1999,Simulation,3.41
2000,Simulation,1.11
2001,Simulation,10.3
2002,Simulation,6.01
2003,Simulation,12.06
2004,Simulation,5.75
2005,Simulation,19.27
2006,Simulation,10.66
2007,Simulation,27.07
2008,Simulation,26.97
2009,Simulation,17.66
2010,Simulation,11.23
2011,Simulation,7.49
2012,Simulation,3.09
2013,Simulation,2.26
2014,Simulation,1.22
2015,Simulation,1.13
2016,Simulation,0
2017,Simulation,
2020,Simulation,0.27
,Shooter,7.44
1980,Shooter,6.56
1981,Shooter,9.37
1982,Shooter,3.55
1983,Shooter,0.45
1984,Shooter,27.79
1985,Shooter,0.65
1986,Shooter,0.94
1987,Shooter,0.66
1988,Shooter,0.47
1989,Shooter,0.4
1990,Shooter,
1991,Shooter,1.06
1992,Shooter,0.02
1993,Shooter,1.61
1994,Shooter,3.71
1995,Shooter,0.7
1996,Shooter,3.28
1997,Shooter,15
1998,Shooter,5.61
1999,Shooter,7.77
2000,Shooter,4
2001,Shooter,15.11
2002,Shooter,28.69
2003,Shooter,16.12
2004,Shooter,30.33
2005,Shooter,27.82
2006,Shooter,23.04
2007,Shooter,38.88
2008,Shooter,34.95
2009,Shooter,38.99
2010,Shooter,43.1
2011,Shooter,49.82
2012,Shooter,35.06
2013,Shooter,30.7
2014,Shooter,30.72
2015,Shooter,30.79
2016,Shooter,7.44
2017,Shooter,
2020,Shooter,
,Role-Playing,0.78
1980,Role-Playing,
1981,Role-Playing,
1982,Role-Playing,
1983,Role-Playing,
1984,Role-Playing,
1985,Role-Playing,
1986,Role-Playing,0.49
1987,Role-Playing,0.47
1988,Role-Playing,0.1
1989,Role-Playing,0
1990,Role-Playing,0.08
1991,Role-Playing,0.24
1992,Role-Playing,0
1993,Role-Playing,0.25
1994,Role-Playing,0.86
1995,Role-Playing,0.71
1996,Role-Playing,12.78
1997,Role-Playing,5.31
1998,Role-Playing,9.16
1999,Role-Playing,17.29
2000,Role-Playing,7.2
2001,Role-Playing,7.46
2002,Role-Playing,20.43
2003,Role-Playing,13.8
2004,Role-Playing,21.55
2005,Role-Playing,12.26
2006,Role-Playing,24.38
2007,Role-Playing,19.8
2008,Role-Playing,25.25
2009,Role-Playing,19.06
2010,Role-Playing,28.55
2011,Role-Playing,19.78
2012,Role-Playing,17.85
2013,Role-Playing,13.09
2014,Role-Playing,13.56
2015,Role-Playing,13.35
2016,Role-Playing,1.39
2017,Role-Playing,0
2020,Role-Playing,
,Racing,2.49
1980,Racing,
1981,Racing,0.45
1982,Racing,1.47
1983,Racing,
1984,Racing,2.3
1985,Racing,
1986,Racing,1.13
